split_type,cell_line,model,environment_added,background,background_set,delta_r2_mean,delta_mae_mean,delta_rmse_mean,n_paired
all,hct116,linear,h3k4me3,sequence_rrbs,rrbs,-0.002116,0.000173,0.000191,1
all,hct116,linear,rrbs,sequence,,-0.001526,-0.000179,0.000138,1
all,hct116,linear,rrbs,sequence_ctcf,ctcf,-0.001293,-0.000264,0.000117,1
all,hct116,linear,rrbs,sequence_ctcf_dnase,"ctcf,dnase",4.114477667159532e+19,-42963178.161756,-1073843827.390595,1
all,hct116,linear,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",1.1242831553929116e+19,-14393471.982225,-422988336.687324,1
all,hct116,linear,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.001815,4.2e-05,0.000163,1
all,hct116,linear,rrbs,sequence_dnase,dnase,-1.0269963897540929e+20,21193528.846487,475800433.460994,1
all,hct116,linear,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-4.758581097764717e+18,60263095.131538,47131672.437706,1
all,hct116,linear,rrbs,sequence_h3k4me3,h3k4me3,-0.001796,2.5e-05,0.000162,1
all,hct116,mlp,ctcf,sequence,,-0.009893,0.003256,0.000889,1
all,hct116,mlp,ctcf,sequence_dnase,dnase,-0.009617,0.00034,0.000859,1
all,hct116,mlp,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.005545,-0.000413,0.000496,1
all,hct116,mlp,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.003178,-0.000536,-0.000283,1
all,hct116,mlp,ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.011176,-0.002784,0.001002,1
all,hct116,mlp,ctcf,sequence_h3k4me3,h3k4me3,0.007536,-9e-05,-0.000674,1
all,hct116,mlp,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.003202,0.000767,0.000286,1
all,hct116,mlp,ctcf,sequence_rrbs,rrbs,-0.004637,0.002751,0.000417,1
all,hct116,mlp,dnase,sequence,,-0.011675,0.003761,0.001049,1
all,hct116,mlp,dnase,sequence_ctcf,ctcf,-0.011399,0.000845,0.001019,1
all,hct116,mlp,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.007177,0.000244,0.000642,1
all,hct116,mlp,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-0.002685,0.004961,0.00024,1
all,hct116,mlp,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.007849,-0.002327,0.000703,1
all,hct116,mlp,dnase,sequence_h3k4me3,h3k4me3,0.005903,0.000566,-0.000528,1
all,hct116,mlp,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.009064,0.006264,0.00081,1
all,hct116,mlp,dnase,sequence_rrbs,rrbs,-0.001311,0.003208,0.000118,1
all,hct116,mlp,h3k4me3,sequence,,-0.016816,0.003723,0.001509,1
all,hct116,mlp,h3k4me3,sequence_ctcf,ctcf,0.000613,0.000377,-5.5e-05,1
all,hct116,mlp,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",0.004834,-0.000225,-0.000431,1
all,hct116,mlp,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",-0.002453,0.00465,0.000219,1
all,hct116,mlp,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-0.007617,-0.002639,0.000682,1
all,hct116,mlp,h3k4me3,sequence_dnase,dnase,0.000762,0.000528,-6.8e-05,1
all,hct116,mlp,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.016807,0.002402,0.001504,1
all,hct116,mlp,h3k4me3,sequence_rrbs,rrbs,-0.009053,-0.000654,0.000813,1
all,hct116,mlp,rrbs,sequence,,-0.00338,7.8e-05,0.000304,1
all,hct116,mlp,rrbs,sequence_ctcf,ctcf,0.001876,-0.000427,-0.000168,1
all,hct116,mlp,rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.005425,-0.003599,-0.000484,1
all,hct116,mlp,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.001863,0.001276,0.000166,1
all,hct116,mlp,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.006355,-0.003442,0.000569,1
all,hct116,mlp,rrbs,sequence_dnase,dnase,0.006984,-0.000475,-0.000627,1
all,hct116,mlp,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.010585,0.001399,0.000946,1
all,hct116,mlp,rrbs,sequence_h3k4me3,h3k4me3,0.004383,-0.004299,-0.000392,1
all,hct116,transformer,ctcf,sequence,,-0.006053,0.002415,0.000546,1
all,hct116,transformer,ctcf,sequence_dnase,dnase,-0.014483,0.001932,0.001303,1
all,hct116,transformer,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.020947,-0.000577,0.001873,1
all,hct116,transformer,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",-0.001132,-0.000415,0.000101,1
all,hct116,transformer,ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.007958,0.001189,0.000714,1
all,hct116,transformer,ctcf,sequence_h3k4me3,h3k4me3,-0.000404,-0.003191,3.6e-05,1
all,hct116,transformer,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.003368,-0.000785,-0.000301,1
all,hct116,transformer,ctcf,sequence_rrbs,rrbs,-0.01052,0.000217,0.000946,1
all,hct116,transformer,dnase,sequence,,-0.001054,0.001952,9.5e-05,1
all,hct116,transformer,dnase,sequence_ctcf,ctcf,-0.009484,0.001469,0.000852,1
all,hct116,transformer,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.005794,0.001592,0.000516,1
