split_type,cell_line,model,combination,environment_count,CTCF,DNase,H3K4me3,RRBS,r2,rmse,mae,pearson,spearman,sample_count,eligible_count,n_invalid,status,warning
all,hct116,cnn(5|3),sequence_dnase_rrbs,2,False,True,False,True,0.0784633455228079,0.1648480659385054,0.1331347775862497,0.2815725601223027,0.2837953467354592,1,1,0,ok,
all,hct116,cnn(5|3),sequence_h3k4me3_rrbs,2,False,False,True,True,0.0674224261913875,0.1658326469818081,0.1320837237736722,0.2663102028141644,0.2733033817764569,1,1,0,ok,
all,hct116,cnn(5|3),sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,0.0751789586251135,0.1651415666197011,0.1319539784034931,0.2761540099452163,0.2856115219133271,1,1,0,ok,
all,hct116,cnn(5|3),sequence_ctcf_dnase_rrbs,3,True,True,False,True,0.0853538697650643,0.1642306076495275,0.1328485486859441,0.2970279139581284,0.2980734051137252,1,1,0,ok,
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,0.069768206186082,0.1656239502207268,0.1314422272445959,0.2694104693504588,0.2843414574308398,1,1,0,ok,
all,hct116,cnn(5|3),sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,0.0790611988194436,0.164794584099814,0.1322071682867949,0.2852910425634475,0.2886579287552561,1,1,0,ok,
all,hct116,cnn(5|3),all,4,True,True,True,True,0.059455733049142,0.1665394666225207,0.1335764049562363,0.2448391268468421,0.2705117426953945,1,1,0,ok,
all,hct116,cnn(7|3),sequence,0,False,False,False,False,0.1115645080195554,0.1618603588963531,0.1299328989515717,0.3357443595068826,0.3236710259194793,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf,1,True,False,False,False,0.0802750238554926,0.164685946182082,0.1306179439572625,0.2878048186917635,0.3060566679050838,1,1,0,ok,
all,hct116,cnn(7|3),sequence_dnase,1,False,True,False,False,0.0854245467132743,0.1642242622761597,0.1321469640416501,0.2960818536296973,0.3006415512507819,1,1,0,ok,
all,hct116,cnn(7|3),sequence_h3k4me3,1,False,False,True,False,0.0781674286455782,0.1648745311958607,0.1312121399859201,0.2957343476333644,0.2986323268484561,1,1,0,ok,
all,hct116,cnn(7|3),sequence_rrbs,1,False,False,False,True,0.1026771836647955,0.1626679166416866,0.130242066268449,0.3239596517254232,0.3232073755694958,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf_dnase,2,True,True,False,False,0.0765575845908126,0.1650184328722436,0.1343603304574438,0.2842216217666984,0.298585698781847,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3,2,True,False,True,False,0.0859330670990615,0.1641786001076671,0.1336760907893862,0.3025373919403102,0.3126903829621168,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf_rrbs,2,True,False,False,True,0.0713944742729127,0.1654791117132221,0.1355527701116552,0.2792796032608862,0.2926929277627185,1,1,0,ok,
all,hct116,cnn(7|3),sequence_dnase_h3k4me3,2,False,True,True,False,0.0777311561890791,0.1649135413753917,0.1298597973559475,0.2867244422176226,0.3035247983374315,1,1,0,ok,
all,hct116,cnn(7|3),sequence_dnase_rrbs,2,False,True,False,True,0.0849218615475644,0.1642693880007465,0.1335736193495439,0.3012149240567303,0.2953941211952225,1,1,0,ok,
all,hct116,cnn(7|3),sequence_h3k4me3_rrbs,2,False,False,True,True,0.0760884195126622,0.1650603472642658,0.131537395076606,0.2800564154047085,0.2924670747016665,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,0.0708900626904793,0.1655240491200924,0.1344414062272149,0.2795141489882937,0.2846408225630734,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf_dnase_rrbs,3,True,True,False,True,0.0806475239066081,0.1646525928766672,0.1295479028734735,0.3144495787137581,0.3136877541099124,1,1,0,ok,
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,0.080591074606806,0.1646576477283976,0.1316618321673598,0.2873370951889756,0.2955862882007901,1,1,0,ok,
all,hct116,cnn(7|3),sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,0.0789758756392408,0.1648022178710898,0.1312392453703792,0.2823807602279099,0.288890433788035,1,1,0,ok,
all,hct116,cnn(7|3),all,4,True,True,True,True,0.0917955530336981,0.163651262918738,0.1300384632207498,0.3056892604675615,0.3157583877085458,1,1,0,ok,
