Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos4_RRBS,0.011905076713578273,0.019190001000104418,0.6203791606635922,0.5350204397528802,0.8358373392811711
pos5_A,0.010498103259619505,0.004393020339078827,2.3897233450598714,0.016877019350598932,0.07389397661613586
pos5_C,0.014313370225990383,0.0043200114305554016,3.3132713781153553,0.0009249519775313964,0.006918232679079942
pos5_G,0.006717078003021527,0.004330870864334211,1.5509762847787314,0.12093478962228099,0.34370940208437756
pos5_CTCF,0.0095026494408777,0.045561510821603465,0.2085674787670105,0.834789581366298,0.9523655787418329
pos5_Dnase,0.020372957790741348,0.13379101213969571,0.15227448738835503,0.8789731084122134,0.9686642419236638
pos5_H3K4me3,0.011428023107905437,0.056889220452437814,0.2008820478997392,0.8407943454892486,0.9525082795053025
pos5_RRBS,0.01049779867884158,0.019180552019980635,0.5473147315002135,0.5841731088213371,0.8525769696311407
pos6_A,0.0020994530286518654,0.004144311146674382,0.5065867292171292,0.612454500147886,0.8692814831344541
pos6_C,0.01804637176029501,0.004233379315835908,4.262876159664808,2.0341672172019543e-05,0.00021969005945781105
pos6_G,0.020646061681110647,0.004348879926894248,4.7474434861794474,2.084804261448525e-06,3.070348094133283e-05
pos6_CTCF,-0.03862481090399926,0.04629649193650754,-0.8342923899497727,0.4041335085438298,0.7525244641850625
pos6_Dnase,-0.07317489634245278,0.10098893725428364,-0.724583289337951,0.46872240373950413,0.8066307800590241
pos6_H3K4me3,-0.10407906666541525,0.05784898562739983,-1.799151109334557,0.07202089664340106,0.24824223949427598
pos6_RRBS,-0.004590289011630502,0.018578169261034925,-0.2470797282086337,0.804850917252542,0.9291168266229618
pos7_A,0.0024623921776571653,0.0044110067705809605,0.5582381315032194,0.5766926158085024,0.8493109432816126
pos7_C,0.007568021335331248,0.004306582311585186,1.757314916511041,0.0788906602252113,0.2662559782600881
pos7_G,0.008591532303472049,0.004294438748972577,2.0006181961560237,0.04545693493886738,0.1601405877435211
pos7_CTCF,-0.017764421378220475,0.04839444766047139,-0.3670756096412784,0.7135693507294283,0.8892171909089799
pos7_Dnase,0.0545805487622399,0.05778478429369747,0.9445488017196415,0.3449090509065331,0.6859944552066174
pos7_H3K4me3,0.0730558448145942,0.05540173603735191,1.3186562378720383,0.1873102317589994,0.4816548816659985
pos7_RRBS,0.004705251601215325,0.017567210267249063,0.2678428463959032,0.7888250755592989,0.9291168266229618
pos8_A,-0.00014237340733055557,0.0043821723191686856,-0.032489230673969555,0.9740824660472753,1.0
pos8_C,0.00926808458102326,0.00436521599267261,2.1231674667600724,0.03376104403463298,0.13339729594172056
pos8_G,0.01377980584968726,0.004373160269507741,3.1509949328334055,0.0016313122668567548,0.010164330278107472
pos8_CTCF,0.07933215061176845,0.04671152932657677,1.6983419672931155,0.08947019610764961,0.28988343538878475
pos8_Dnase,0.05458054876224115,0.05778478429369705,0.9445488017196699,0.34490905090651847,0.6859944552066174
pos8_H3K4me3,0.0006654774610805393,0.056524231025605866,0.011773312949256638,0.9906066758922358,1.0
pos8_RRBS,-0.029196395579722798,0.01776856532285711,-1.6431487320006173,0.10037940743918461,0.30834516867080997
pos9_A,0.004559331039880358,0.00415138864701231,1.0982664904577504,0.2721110533955631,0.5957025763524488
pos9_C,-0.011431587598468471,0.0042371616533531005,-2.6979352060882604,0.006987246505000488,0.03537293543156497
pos9_G,-0.0049708434266854265,0.004287369388421204,-1.1594157107409648,0.24631076460682233,0.5541992203653502
pos9_CTCF,-0.012603209836564462,0.04317819880338088,-0.2918882719947462,0.7703772976113472,0.9291168266229618
pos9_Dnase,0.011075160555575472,0.120792207920195,0.09168770689987395,0.9269477561629613,0.9879311611736825
pos9_H3K4me3,-0.07976428430474541,0.05790529866812574,-1.3774954302869706,0.16838584084947494,0.4533628644748729
pos9_RRBS,0.02037576690015624,0.01926246740229608,1.0577963079500114,0.29017045807964936,0.6204639210930639
pos10_A,0.01984678103423905,0.004397277320791852,4.513424918732459,6.442019562680201e-06,8.696726409618272e-05
pos10_C,0.00907798972444454,0.004324326318110424,2.0992841558754747,0.03581352446571895,0.1381378800820588
pos10_G,-0.00016167393990873836,0.0043107604056681625,-0.0375047380726972,0.9700832110957449,1.0
pos10_CTCF,-0.011040683183277786,0.042843579036392875,-0.2576974994059071,0.7966449710981323,0.9291168266229618
pos10_Dnase,-0.13625821096125987,0.11185025982634778,-1.2182198876677306,0.22316532939248468,0.5164683337368932
pos10_H3K4me3,0.02893582576305227,0.06589808495383548,0.4390996458140338,0.6605975569216658,0.8892171909089799
pos10_RRBS,-0.004658296287623792,0.015941138830199115,-0.2922185382890619,0.7701247915819569,0.9291168266229618
pos11_A,0.01964799180435227,0.004416816223079108,4.448451285268783,8.730109817944864e-06,0.00010879059926977446
pos11_C,-0.004183384527143981,0.004325295686918168,-0.9671904142407197,0.3334691220976824,0.68382275670664
pos11_G,0.0016323738209287656,0.004355065093433113,0.3748219110180876,0.7077998054372352,0.8892171909089799
pos11_CTCF,0.04068183559187741,0.0432780571267754,0.9400106726766219,0.3472317612774236,0.6859944552066174
pos11_Dnase,0.0469797083529266,0.11175555719989963,0.4203791697704389,0.6742163098706815,0.8892171909089799
pos11_H3K4me3,0.026179727370460985,0.06525111753115542,0.4012150038343935,0.6882692638704246,0.8892171909089799
pos11_RRBS,-0.021090973646032806,0.018571641967274694,-1.1356547624166702,0.25612466510444465,0.5683862431084936
pos12_A,0.008324462519225518,0.004116421920319314,2.0222568726822305,0.04317284546322875,0.1589545673873422
pos12_C,-0.0006122166587259071,0.0042738037658469575,-0.14324865910276102,0.8860963027154376,0.9699162232425735
pos12_G,-0.0024620988630146105,0.004359246961145488,-0.5647991235549638,0.5722213815878838,0.8493109432816126
pos12_CTCF,-0.02943858429587561,0.047524491965593725,-0.6194402733897343,0.5356385858943593,0.8358373392811711
pos12_Dnase,-0.06483754202855581,0.11201257068019417,-0.578841657100012,0.5627073172721679,0.845974904167454
pos12_H3K4me3,0.04276296595007003,0.056130276241461226,0.7618520487252245,0.4461638811900468,0.7942697665141493
pos12_RRBS,0.00869024367862896,0.019410451795179706,0.4477095005478982,0.6543712681048055,0.8892171909089799
pos13_A,0.0022210021421628615,0.004441978080282023,0.5000029495917389,0.6170825343238409,0.8692814831344541
pos13_C,0.007446237943439068,0.004335330859447389,1.7175708578763966,0.08590174810293982,0.2840016978097194
pos13_G,0.007175774378454825,0.0043116154940088984,1.6642890323651889,0.0960818323869097,0.305201114640772
pos13_CTCF,0.008697227879695981,0.04670541037441101,0.18621456936091976,0.8522797721734077,0.9537885191481541
pos13_Dnase,-0.0383977832127499,0.11197453084720871,-0.34291533014006886,0.7316684045198483,0.8979566782743593
pos13_H3K4me3,-0.04008265939929995,0.05612954984687093,-0.7141097605209896,0.4751737540332104,0.8066307800590241
pos13_RRBS,-0.020402511211628786,0.019324225309867746,-1.0557996962088008,0.2910818395251411,0.6204639210930639
pos14_A,-0.01325570515496537,0.004375032900696089,-3.0298526790178704,0.0024521466724916063,0.014712880034949638
pos14_C,-0.01878791655750275,0.004335091799722693,-4.333914349565695,1.4772163195120314e-05,0.00017093503125782078
pos14_G,-0.03593775227962862,0.00435729324324396,-8.24772405101506,2.220446049250313e-16,3.597122599785507e-14
pos14_CTCF,-0.01957869781394962,0.04553313462161403,-0.42998791927353597,0.6672124579369596,0.8892171909089799
