Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos8_C,-0.000639187664773438,0.008872874633340197,-0.07203839693301464,0.9425806628096167,1.0
pos8_G,-0.0034055352359767294,0.008975013483466424,-0.3794462528942528,0.7044085871249162,1.0
pos8_CTCF,36078925.25969289,24508029.28234059,1.472126740345042,0.1411900565152131,0.3486429308722334
pos8_Dnase,-657943.5258980857,446934.022639841,-1.4721267403450404,0.14119005651521332,0.3486429308722334
pos8_H3K4me3,147988589.16913247,100527070.87872513,1.4721267403450407,0.14119005651521332,0.3486429308722334
pos8_RRBS,0.0330095624558703,0.045745332810253274,0.7215941043163991,0.4706531093058621,0.8471755967505519
pos9_A,-0.0119994253499822,0.008212612413192719,-1.4610972424202504,0.14419182943481257,0.3486429308722334
pos9_C,0.004287754132661666,0.008560755182597359,0.5008616694678971,0.6165397327277473,0.9792101637440692
pos9_G,0.005897047384733307,0.008704292400966282,0.6774872801927775,0.49819814089650816,0.8820799172666358
pos9_CTCF,-6895425.750519082,4683989.198445577,-1.4721267403450438,0.14119005651521266,0.3486429308722334
pos9_Dnase,15797911.751146205,10731353.027011441,1.4721267403450375,0.1411900565152142,0.3486429308722334
pos9_H3K4me3,4264796.137020321,2897030.5478050862,1.4721267403450446,0.14119005651521221,0.3486429308722334
pos9_RRBS,-0.0879009639133516,0.0622875647719009,-1.4112120811794104,0.15838316220833182,0.3718561199673877
pos10_A,-0.005116723570887144,0.008566312136644693,-0.59730762658052,0.5503894263960332,0.9287821570433059
pos10_C,0.007892055387191567,0.00884934560780113,0.8918236146449445,0.37262617221612526,0.7272944566146059
pos10_G,0.0038178046436386512,0.008415412483365674,0.4536681536627129,0.650131323549338,0.9935969284433279
pos10_CTCF,-1590243.8225950461,1080235.6746962676,-1.4721267403450444,0.14119005651521244,0.3486429308722334
pos10_Dnase,858653.9415037873,583274.4681361683,1.472126740345045,0.14119005651521221,0.3486429308722334
pos10_H3K4me3,-1157858.3753060324,786520.8501237113,-1.4721267403450444,0.14119005651521244,0.3486429308722334
pos10_RRBS,-0.03941105016034008,0.045996233671171435,-0.856832114605099,0.39167038077406313,0.7506410732790352
pos11_A,-0.012415422785049767,0.008782223342170522,-1.4136992765184337,0.15765141067261257,0.3718561199673877
